Title,Year,Authors,Venue,Citation Count,Scholar URL,Abstract
Towards Heterogeneous Continual Graph Learning via Meta-knowledge Distillation,2025,"G Sun, X Zhang, J Ni, D Song","arXiv e-prints, arXiv: 2505.17458 , 2025",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:fPk4N6BV_jEC,"Machine learning on heterogeneous graphs has experienced rapid advancement in recent years, driven by the inherently heterogeneous nature of real-world data. However, existing studies typically assume the graphs to be static, while real-world graphs are continuously expanding. This dynamic nature requires models to adapt to new data while preserving existing knowledge. To this end, this work addresses the challenge of continual learning on heterogeneous graphs by introducing the Meta-learning based Knowledge Distillation framework (MKD), designed to mitigate catastrophic forgetting in evolving heterogeneous graph structures. MKD combines rapid task adaptation through meta-learning on limited samples with knowledge distillation to achieve an optimal balance between incorporating new information and maintaining existing knowledge. To improve the efficiency and effectiveness of sample …"
Interpreting graph neural networks with in-distributed proxies,2024,"Z Chen, J Zhang, J Ni, X Li, Y Bian, MM Islam, AM Mondal, H Wei, D Luo","arXiv preprint arXiv 2402 , 2024",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:pqnbT2bcN3wC,"Graph Neural Networks (GNNs) have become a building block in graph data processing, with wide applications in critical domains. The growing needs to deploy GNNs in high-stakes applications necessitate explainability for users in the decision-making processes. A popular paradigm for the explainability of GNNs is to identify explainable subgraphs by comparing their labels with the ones of original graphs. This task is challenging due to the substantial distributional shift from the original graphs in the training set to the set of explainable subgraphs, which prevents accurate prediction of labels with the subgraphs. To address it, in this paper, we propose a novel method that generates proxy graphs for explainable subgraphs that are in the distribution of training data. We introduce a parametric method that employs graph generators to produce proxy graphs. A new training objective based on information theory is designed to ensure that proxy graphs not only adhere to the distribution of training data but also preserve essential explanatory factors. Such generated proxy graphs can be reliably used for approximating the predictions of the true labels of explainable subgraphs. Empirical evaluations across various datasets demonstrate our method achieves more accurate explanations for GNNs."
Cross-Modal Knowledge Transfer in Time Series AI via Large Vision Models,2026,J Ni,"Proceedings of the AAAI Conference on Artificial Intelligence 40 (47), 39827 … , 2026",0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:_xSYboBqXhAC,"Time series analysis has progressed from traditional autoregressive models to deep learning, Transformers, and foundation models (FMs), including large language models (LLMs) and large vision models (LVMs). These advances have expanded model design possibilities and, notably, enabled time series problem-solving across multiple modalities, greatly enhancing downstream applications in domains such as climate, agriculture, and healthcare. In this talk, I will provide an overview of recent developments in large FMs for time series, highlighting frameworks for transferring knowledge from other modalities to time series, and identifying the advantages of LVMs in cross-modal knowledge transfer over LLMs. I will then delve into our recent research on LVMs for time series, discussing (1) mainstream techniques for imaging time series (i.e., transforming time series to images); (2) empirical findings on LVMs' effectiveness and limitations in time series modeling; and (3) integration of LVMs in multimodal frameworks for time series encoding. Finally, this talk will conclude with an application of LVMs in brain time series learning in neuroscience. The aim of the talk is to review state-of-the-art AI techniques for time series, highlight unique challenges, and share our recent findings in this promising area."
SNR detection with few-shot trained models,2026,"W Cheng, J Ni, L Tong, H Chen, Y Zhang","US Patent 12,517,983 , 2026",0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:SeFeTyx0c_EC,"Methods and systems for training a model include determining class prototypes of time series samples from a training dataset. A task corresponding to the time series samples is encoded using the class prototypes and a task-level configuration. A likelihood value is determined based on outputs of a time series density model, a task-class distance from a task embedding model, and a task density model. Parameters of the time series density model, the task embedding model, and the task density model are adjusted responsive to the likelihood value."
From Signals to Semantics: A Survey on Time Series Explainability through a Human-Cognitive Lens,2026,"Z Chen, G Lucchesi, Q Dong, X Zheng, D Song, Q Wen, W Cheng, J Ni, ...","Authorea Preprints , 2026",0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:D03iK_w7-QYC,"Machine learning and deep learning have demonstrated remarkable success across a wide range of time series tasks. However, their lack of transparency limits explainability and trust. To address this challenge, numerous explanation methods have been proposed in recent years, each of them providing distinct perspectives on how to interpret time series models through signals, patterns, structures, or semantics. This survey synthesizes these perspectives into a unified cognitive hierarchy that bridges methodological diversity with human understanding. Existing approaches are classified into four levels: signal-space, pattern-space, structural, and semantic, reflecting a progressive shift from low-level signal attribution to high-level semantic reasoning. Building on this taxonomy, we conduct comprehensive literature review, revealing cross-level connections, emerging trends, and critical gaps in current research. Our …"
SCGclust: Single-Cell Graph Clustering Using Graph Autoencoders That Integrate SNVs and CNAs,2025,"T Potu, Y Hu, J Wang, H Chi, R Khan, S Dharani, J Ni, L Zhang, XM Zhou, ...","Mathematics 14 (1), 46 , 2025",0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:bFI3QPDXJZMC,"Intra-tumor heterogeneity (ITH) is a compounding factor for cancer prognoses and treatment. Single-cell DNA sequencing (scDNA-seq) provides cellular resolution of the variations in a cell and has been widely used to study cancer progression and the responses to drugs and treatments. While low-coverage scDNA-seq technologies typically provide a large number of cells, accurate cell clustering is essential for effectively characterizing the ITH. The existing cell clustering methods are typically based on either single-nucleotide variations (SNV) or copy number alterations (CNA), without leveraging both signals together. Since both SNVs and CNAs are indicative of cell subclonality, in this paper, we designed a robust cell-clustering tool that integrates both signals using a graph autoencoder. Our model co-trains the graph autoencoder and a graph convolutional network (GCN) to guarantee meaningful clustering results and to prevent all cells from collapsing into a single cluster. Given the low-dimensional embedding generated by the autoencoder, we adopted a Gaussian mixture model (GMM) to further cluster the cells. We evaluated our method on eight simulated datasets and a real cancer sample. Our results demonstrate that our method consistently achieved higher V-measure scores compared to SBMClone, an SNV-based method, and a K-means method that relies solely on CNA signals. These findings highlight the advantage of integrating both SNV and CNA signals within a graph autoencoder framework for accurate cell clustering."
Superclass-conditional Gaussian mixture model for personalized prediction on dialysis events,2025,"J Ni, W Cheng, H Chen","US Patent 12,481,883 , 2025",0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:35N4QoGY0k4C,"A computer-implemented method for model building is provided. The method includes receiving a training set of medical records and model hyperparameters. The method further includes initializing an encoder as a Dual-Channel Combiner Network (DCNN) and initialize distribution related parameters. The method also includes performing, by a hardware processor, a forward computation to (1) the DCNN to obtain the embeddings of the medical records, and (2) the distribution related parameters to obtain class probabilities. The method additionally includes checking by a convergence evaluator if the iterative optimization has converged. The method further includes performing model personalization responsive to model convergence by encoding the support data of a new patient and using the embeddings and event subtype labels to train a personalized classifier."
Superclass-conditional gaussian mixture model for personalized prediction on dialysis events,2025,"J Ni, W Cheng, H Chen","US Patent 12,481,882 , 2025",0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:vV6vV6tmYwMC,"A computer-implemented method for model building is provided. The method includes receiving a training set of medical records and model hyperparameters. The method further includes initializing an encoder as a Dual-Channel Combiner Network (DCNN) and initialize distribution related parameters. The method also includes performing, by a hardware processor, a forward computation to (1) the DCNN to obtain the embeddings of the medical records, and (2) the distribution related parameters to obtain class probabilities. The method additionally includes checking by a convergence evaluator if the iterative optimization has converged. The method further includes performing model personalization responsive to model convergence by encoding the support data of a new patient and using the embeddings and event subtype labels to train a personalized classifier."
Superclass-conditional gaussian mixture model for personalized prediction on dialysis events,2025,"J Ni, W Cheng, H Chen","US Patent 12,481,881 , 2025",0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:RYcK_YlVTxYC,"A computer-implemented method for model building is provided. The method includes receiving a training set of medical records and model hyperparameters. The method further includes initializing an encoder as a Dual-Channel Combiner Network (DCNN) and initialize distribution related parameters. The method also includes performing, by a hardware processor, a forward computation to (1) the DCNN to obtain the embeddings of the medical records, and (2) the distribution related parameters to obtain class probabilities. The method additionally includes checking by a convergence evaluator if the iterative optimization has converged. The method further includes performing model personalization responsive to model convergence by encoding the support data of a new patient and using the embeddings and event subtype labels to train a personalized classifier."
From Binary to Continuous: Stochastic Re-Weighting for Robust Graph Explanation,2025,"Z Chen, J Ni, HA Salehi, X Zheng, D Luo","arXiv preprint arXiv:2508.01925 , 2025",0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:yD5IFk8b50cC,"Graph Neural Networks (GNNs) have achieved remarkable performance in a wide range of graph-related learning tasks. However, explaining their predictions remains a challenging problem, especially due to the mismatch between the graphs used during training and those encountered during explanation. Most existing methods optimize soft edge masks on weighted graphs to highlight important substructures, but these graphs differ from the unweighted graphs on which GNNs are trained. This distributional shift leads to unreliable gradients and degraded explanation quality, especially when generating small, sparse subgraphs. To address this issue, we propose a novel iterative explanation framework which improves explanation robustness by aligning the model's training data distribution with the weighted graph distribution appeared during explanation. Our method alternates between two phases: explanation subgraph identification and model adaptation. It begins with a relatively large explanation subgraph where soft mask optimization is reliable. Based on this subgraph, we assign importance-aware edge weights to explanatory and non-explanatory edges, and retrain the GNN on these weighted graphs. This process is repeated with progressively smaller subgraphs, forming an iterative refinement procedure. We evaluate our method on multiple benchmark datasets using different GNN backbones and explanation methods. Experimental results show that our method consistently improves explanation quality and can be flexibly integrated with different architectures."
